generation,best_fitness,avg_progress,seed,weights_json
772,365.95,243.20,72,"[[[12.345132827758789, 18.084508895874023, 13.149296760559082, -15.064142227172852, -0.9931091070175171], [-27.19053840637207, -11.494625091552734, -13.922830581665039, -14.527202606201172, 26.78308868408203], [-2.953259229660034, 9.415140151977539, -5.414529800415039, -0.3568153977394104, -1.204774260520935], [-3.598484992980957, -7.563268184661865, -8.653616905212402, -14.660953521728516, -9.412817001342773], [10.967690467834473, 3.0357258319854736, -18.93117332458496, -22.939220428466797, -4.323398590087891]], [4.42744779586792, 13.85766887664795, -1.873685359954834, -28.924945831298828, -16.80792808532715], [[-2.9118988513946533, -4.145170211791992, 40.09230041503906], [-34.037357330322266, -13.019775390625, -5.928638458251953], [0.5780407786369324, -16.454696655273438, 20.980552673339844], [4.728758335113525, -24.867856979370117, 24.814109802246094], [11.481701850891113, 51.999351501464844, -3.3012242317199707]], [7.707127094268799, 18.11566734313965, 35.8955192565918], [[5.093442916870117, 27.179479598999023, -13.49507999420166], [23.295766830444336, -27.5639591217041, 7.52470064163208], [29.688722610473633, -14.23068618774414, 32.617183685302734]], [-19.89008903503418, 24.919124603271484, -12.654483795166016], [[-7.119899749755859, -31.031248092651367], [15.329384803771973, -33.047916412353516], [5.9982733726501465, -7.931728839874268]], [-12.519829750061035, 2.8732054233551025]]"
773,403.28,342.57,73,"[[[12.123844146728516, 18.83528709411621, 13.448960304260254, -14.835740089416504, -0.3388589918613434], [-27.956619262695312, -12.39828109741211, -14.122751235961914, -13.449384689331055, 25.90629005432129], [-3.4728355407714844, 10.218003273010254, -5.70566987991333, -0.2690909802913666, -1.5349171161651611], [-3.3371100425720215, -6.98192834854126, -8.371827125549316, -15.6807222366333, -9.696681022644043], [10.36117935180664, 1.827143907546997, -18.14629554748535, -22.92799186706543, -4.278955459594727]], [5.467193603515625, 14.198131561279297, -0.7960323095321655, -28.645519256591797, -16.63701820373535], [[-3.6140806674957275, -3.465151309967041, 40.64170837402344], [-35.15993881225586, -13.591205596923828, -5.563136577606201], [1.0679173469543457, -16.36248016357422, 20.968704223632812], [4.488275051116943, -25.544626235961914, 25.602935791015625], [11.457443237304688, 52.0283317565918, -3.2227814197540283]], [7.188900470733643, 18.259031295776367, 35.48895263671875], [[4.519357204437256, 28.755475997924805, -12.72219181060791], [23.89356231689453, -26.481494903564453, 7.3857855796813965], [29.33465003967285, -13.684680938720703, 32.936927795410156]], [-20.676542282104492, 25.416296005249023, -12.50772762298584], [[-7.118826866149902, -30.092676162719727], [14.969048500061035, -33.58127975463867], [6.667125701904297, -7.752359390258789]], [-11.681206703186035, 2.8000426292419434]]"
774,502.28,423.93,74,"[[[14.704035758972168, 19.327810287475586, 14.287590026855469, -12.295022010803223, -1.3892472982406616], [-25.843463897705078, -12.972040176391602, -11.36423110961914, -13.397696495056152, 24.88521957397461], [-2.0516631603240967, 10.231673240661621, -8.119939804077148, 1.3342705965042114, -1.5898464918136597], [-4.334516525268555, -5.851108074188232, -9.742499351501465, -17.048425674438477, -8.135602951049805], [10.446535110473633, 4.956868648529053, -19.289833068847656, -20.68829917907715, -3.21897554397583]], [2.742732524871826, 16.44290542602539, -1.4988951683044434, -29.473628997802734, -16.87903594970703], [[-2.7948923110961914, -3.388239860534668, 39.73203659057617], [-34.55403137207031, -14.362893104553223, -3.6911563873291016], [0.41428330540657043, -17.369964599609375, 22.811779022216797], [6.152669429779053, -23.2821102142334, 24.332843780517578], [11.913848876953125, 52.312400817871094, -3.963265895843506]], [9.4249906539917, 15.934613227844238, 36.90970993041992], [[5.354461669921875, 27.91155242919922, -14.313763618469238], [23.147497177124023, -23.929101943969727, 8.83237361907959], [32.07127380371094, -16.07398223876953, 33.58124923706055]], [-18.54926109313965, 25.19999885559082, -13.723163604736328], [[-9.670130729675293, -30.69807243347168], [14.936535835266113, -34.03392028808594], [5.546587944030762, -8.440523147583008]], [-11.699130058288574, 0.9653245806694031]]"
775,38.00,17.47,75,"[[[11.11632251739502, 20.575393676757812, 14.491854667663574, -14.985581398010254, 0.8678500652313232], [-27.578975677490234, -14.27823257446289, -13.205702781677246, -14.142294883728027, 27.28108024597168], [-2.7478246688842773, 10.657011032104492, -5.462480545043945, -0.17983028292655945, -2.5411534309387207], [-4.124253273010254, -7.180475234985352, -9.190837860107422, -15.464144706726074, -8.392753601074219], [9.402863502502441, 1.9642754793167114, -19.02895736694336, -22.31244659423828, -4.375180721282959]], [5.74565315246582, 16.39528465270996, -1.1949316263198853, -29.1141300201416, -14.37642765045166], [[-2.971557140350342, -4.573102951049805, 39.06800842285156], [-37.11278533935547, -13.42520523071289, -5.706421375274658], [0.07021862268447876, -16.911420822143555, 20.865020751953125], [3.26137113571167, -24.65730857849121, 24.441625595092773], [13.441877365112305, 52.11194610595703, -3.5506198406219482]], [6.153168678283691, 19.856178283691406, 35.45668029785156], [[5.827680587768555, 29.94902229309082, -13.10805892944336], [23.36123275756836, -27.255521774291992, 7.146001815795898], [28.90943717956543, -13.968023300170898, 30.103090286254883]], [-21.828203201293945, 26.21672248840332, -13.744178771972656], [[-7.542928695678711, -29.568485260009766], [13.98167610168457, -34.774658203125], [6.5908522605896, -6.303537368774414]], [-12.026345252990723, 2.328258752822876]]"
776,410.87,314.33,76,"[[[11.069738388061523, 16.436420440673828, 13.390172004699707, -16.20261573791504, -0.9790313839912415], [-26.27501106262207, -11.868305206298828, -12.754380226135254, -12.332197189331055, 26.775632858276367], [-3.088338851928711, 8.332513809204102, -6.416311740875244, 0.8046297430992126, -3.3590009212493896], [-4.53993034362793, -8.731762886047363, -4.905457496643066, -14.0564603805542, -9.88838005065918], [10.360694885253906, 3.7220077514648438, -17.955490112304688, -21.923093795776367, -1.847988486289978]], [3.813876152038574, 12.489691734313965, -2.5706005096435547, -28.30061912536621, -15.128865242004395], [[-2.538516044616699, -2.487018346786499, 40.58582305908203], [-34.820865631103516, -14.304556846618652, -4.018954277038574], [1.2976456880569458, -16.443540573120117, 20.421247482299805], [6.984213829040527, -24.903396606445312, 24.947006225585938], [12.164389610290527, 51.79716491699219, -2.279680013656616]], [8.883212089538574, 18.310914993286133, 37.41105270385742], [[3.745968818664551, 26.900362014770508, -16.37466049194336], [23.46341323852539, -27.509349822998047, 7.228034496307373], [29.7751407623291, -14.577850341796875, 33.58507537841797]], [-19.33098030090332, 25.73689842224121, -12.789567947387695], [[-6.750658988952637, -29.787887573242188], [15.113725662231445, -32.974822998046875], [4.1958327293396, -5.965741157531738]], [-15.132997512817383, 3.3930304050445557]]"
777,493.15,439.03,77,"[[[12.174846649169922, 17.687400817871094, 10.831284523010254, -14.332018852233887, -1.6640547513961792], [-27.566991806030273, -13.063272476196289, -14.831523895263672, -15.105914115905762, 26.495271682739258], [-2.157771587371826, 7.372726917266846, -6.971327304840088, -0.7474009990692139, -2.8640546798706055], [-5.266836643218994, -7.844782829284668, -9.826333045959473, -13.362411499023438, -9.613008499145508], [10.805416107177734, 0.9789220094680786, -18.932910919189453, -24.458120346069336, -1.8633196353912354]], [4.9818925857543945, 14.180694580078125, -2.680725336074829, -29.35629653930664, -14.60749626159668], [[-2.7321810722351074, -2.629535436630249, 41.21889114379883], [-34.55076217651367, -14.836511611938477, -4.5435614585876465], [-0.006932288873940706, -18.249839782714844, 20.810470581054688], [5.675034999847412, -22.772193908691406, 25.017160415649414], [11.05267333984375, 48.82337188720703, -6.197171211242676]], [9.810921669006348, 17.528884887695312, 37.20383834838867], [[7.162295818328857, 27.111942291259766, -13.337223052978516], [25.582218170166016, -29.543933868408203, 6.39278507232666], [32.275875091552734, -16.0534610748291, 34.860267639160156]], [-18.46559715270996, 25.107593536376953, -13.604326248168945], [[-9.857954025268555, -31.088151931762695], [14.234481811523438, -33.748680114746094], [5.708089351654053, -6.16076135635376]], [-13.559643745422363, 2.3671350479125977]]"
778,491.76,373.40,78,"[[[12.074127197265625, 15.703046798706055, 10.661622047424316, -16.126222610473633, -2.918165445327759], [-25.770326614379883, -11.996252059936523, -13.754837989807129, -15.905396461486816, 24.986244201660156], [-3.0381903648376465, 7.3262810707092285, -6.761072635650635, -3.1904587745666504, -2.7584915161132812], [-4.8892083168029785, -8.480522155761719, -6.039503574371338, -10.916109085083008, -7.362843990325928], [10.864025115966797, 3.2224440574645996, -19.955060958862305, -23.734148025512695, -3.624206304550171]], [5.9794182777404785, 14.796881675720215, -0.7669116258621216, -29.165746688842773, -13.063694953918457], [[-2.109086275100708, -1.5270311832427979, 40.42756652832031], [-32.94198989868164, -15.819890975952148, -2.4383902549743652], [0.053191207349300385, -17.72840118408203, 19.263004302978516], [6.403379917144775, -24.228899002075195, 26.285160064697266], [12.096294403076172, 49.67164611816406, -3.8250296115875244]], [11.465051651000977, 16.900671005249023, 34.70710754394531], [[8.351673126220703, 28.671140670776367, -13.823578834533691], [23.755517959594727, -30.311279296875, 9.374841690063477], [32.901405334472656, -14.235430717468262, 31.005443572998047]], [-17.212003707885742, 27.934839248657227, -11.910508155822754], [[-4.490540027618408, -30.501697540283203], [18.026567459106445, -32.08458709716797], [6.319601535797119, -9.507554054260254]], [-10.825403213500977, 1.3826637268066406]]"
779,404.25,238.00,79,"[[[10.756268501281738, 16.69475746154785, 10.127463340759277, -15.845133781433105, -4.858486175537109], [-27.977718353271484, -12.039031028747559, -13.994372367858887, -10.374239921569824, 30.902851104736328], [-1.5352822542190552, 9.063416481018066, -6.300154209136963, -3.005936861038208, -1.5078582763671875], [-4.406755447387695, -7.178629398345947, -9.11263370513916, -12.644207000732422, -7.161205291748047], [11.832366943359375, 6.704242706298828, -18.998659133911133, -19.399097442626953, -3.747000217437744]], [1.6991968154907227, 10.204407691955566, -1.7783714532852173, -30.33510971069336, -15.899174690246582], [[-3.1421194076538086, -2.9344966411590576, 39.86338806152344], [-33.99209976196289, -14.14197063446045, -3.1433777809143066], [1.9374628067016602, -15.033485412597656, 22.209911346435547], [4.910412788391113, -23.981706619262695, 22.94011116027832], [12.223562240600586, 49.48664474487305, -2.662292242050171]], [10.18089771270752, 17.189401626586914, 34.11857986450195], [[6.54461145401001, 27.888710021972656, -11.753511428833008], [23.931310653686523, -26.50406265258789, 7.663636207580566], [29.89716911315918, -12.556317329406738, 28.672060012817383]], [-19.405513763427734, 27.226152420043945, -15.857095718383789], [[-10.966592788696289, -36.34038543701172], [14.440131187438965, -33.59933090209961], [7.686992645263672, -12.416119575500488]], [-12.051538467407227, 6.267248630523682]]"
780,380.24,190.70,80,"[[[11.455375671386719, 17.684036254882812, 11.294742584228516, -13.974868774414062, -3.846625566482544], [-28.990732192993164, -14.34045124053955, -12.004633903503418, -13.60356330871582, 27.985637664794922], [-0.2175704389810562, 6.781467437744141, -6.705087184906006, -1.1335471868515015, -2.2934794425964355], [-4.578263282775879, -6.681174278259277, -7.789006233215332, -16.035646438598633, -11.38449478149414], [10.319544792175293, 1.742352843284607, -19.673240661621094, -26.34014320373535, -2.9999403953552246]], [5.861771583557129, 14.513535499572754, -3.0318655967712402, -29.407949447631836, -14.911810874938965], [[-6.0786285400390625, -2.7715282440185547, 40.94686508178711], [-33.15148162841797, -11.923796653747559, -5.290306091308594], [-0.027585603296756744, -17.11273765563965, 20.91427993774414], [6.250374794006348, -23.522615432739258, 26.063655853271484], [9.814596176147461, 49.333377838134766, -5.463055610656738]], [9.30524730682373, 18.713321685791016, 36.18083953857422], [[6.823944091796875, 27.21006202697754, -13.365477561950684], [22.823528289794922, -29.02399444580078, 5.367849349975586], [33.16694641113281, -17.47600746154785, 35.30303955078125]], [-18.332578659057617, 23.49553680419922, -16.173009872436523], [[-11.206192970275879, -33.28330612182617], [14.070893287658691, -32.958045959472656], [4.920916557312012, -5.353885173797607]], [-11.081827163696289, 1.1140425205230713]]"
781,437.45,354.43,81,"[[[11.652416229248047, 16.819650650024414, 12.760132789611816, -14.76573371887207, -3.6732711791992188], [-29.581544876098633, -15.615623474121094, -11.16907787322998, -13.000523567199707, 28.076616287231445], [-1.2982038259506226, 6.89029598236084, -7.437561988830566, -1.5271289348602295, -2.4946694374084473], [-3.9197027683258057, -6.5186567306518555, -8.407219886779785, -15.807075500488281, -11.491260528564453], [9.911425590515137, 1.2156846523284912, -19.50627326965332, -25.504060745239258, -2.101860523223877]], [5.862115859985352, 14.75088882446289, -3.712402582168579, -29.288349151611328, -15.28131103515625], [[-6.11643648147583, -2.9645345211029053, 40.6789665222168], [-32.711612701416016, -12.09451675415039, -4.343421459197998], [0.17043675482273102, -16.145963668823242, 22.215843200683594], [6.517187595367432, -22.97547721862793, 27.595272064208984], [9.109658241271973, 50.09409713745117, -5.1850905418396]], [8.956520080566406, 19.828880310058594, 34.927650451660156], [[6.694350719451904, 27.42078399658203, -15.149629592895508], [22.345792770385742, -30.31696128845215, 5.299096584320068], [31.7408447265625, -17.776222229003906, 35.362266540527344]], [-17.94717788696289, 22.861732482910156, -16.480133056640625], [[-10.388537406921387, -33.095516204833984], [14.683984756469727, -34.15591812133789], [4.827976226806641, -4.8574018478393555]], [-13.283672332763672, 0.845770001411438]]"
782,372.05,319.70,82,"[[[11.955443382263184, 17.678466796875, 11.587403297424316, -15.05570125579834, -3.4333932399749756], [-28.31764793395996, -15.24974536895752, -12.26463508605957, -11.419677734375, 27.98297882080078], [-2.519930362701416, 7.498903274536133, -7.420575141906738, -1.4951006174087524, -2.4559123516082764], [-3.6112313270568848, -5.871232986450195, -8.956107139587402, -14.967272758483887, -12.755776405334473], [9.00389575958252, 0.49445822834968567, -19.129186630249023, -25.34596061706543, -2.599346399307251]], [6.867395401000977, 13.832462310791016, -4.957005023956299, -30.083799362182617, -15.727723121643066], [[-5.871838569641113, -2.240114688873291, 41.56220626831055], [-31.947341918945312, -11.979533195495605, -3.702007532119751], [0.764333963394165, -15.231846809387207, 21.097576141357422], [6.290074348449707, -23.031564712524414, 27.22818946838379], [9.154534339904785, 49.11846923828125, -5.763432025909424]], [9.731220245361328, 18.551219940185547, 35.99954605102539], [[6.7950005531311035, 27.116954803466797, -14.69705867767334], [22.514440536499023, -32.141544342041016, 5.552474498748779], [30.676776885986328, -17.864578247070312, 35.69014358520508]], [-16.922199249267578, 23.59061050415039, -17.53350830078125], [[-10.298955917358398, -33.72251892089844], [14.131633758544922, -34.47599792480469], [3.61167573928833, -3.4824392795562744]], [-12.807886123657227, 1.0574758052825928]]"
783,422.87,198.40,83,"[[[12.190784454345703, 16.2701416015625, 11.819721221923828, -15.443717002868652, -3.341555595397949], [-27.35211181640625, -14.40246868133545, -12.173848152160645, -9.871647834777832, 26.6247615814209], [-3.5377609729766846, 7.788740634918213, -6.686819553375244, -1.6036460399627686, -2.760348081588745], [-3.382129192352295, -6.025735855102539, -8.93481731414795, -14.419966697692871, -11.707039833068848], [8.684598922729492, 0.9779431819915771, -18.861953735351562, -26.0947322845459, -2.6409475803375244]], [6.733048439025879, 13.489057540893555, -6.169857025146484, -30.555198669433594, -15.608630180358887], [[-5.557058334350586, -1.3062142133712769, 43.37809371948242], [-32.30228805541992, -11.501887321472168, -4.760389804840088], [-0.5940141677856445, -14.974116325378418, 20.583799362182617], [5.89606237411499, -23.608081817626953, 26.908044815063477], [9.750016212463379, 50.74571228027344, -3.9718573093414307]], [10.291943550109863, 18.969755172729492, 35.69721984863281], [[7.177046298980713, 26.93661117553711, -13.607118606567383], [22.030048370361328, -30.176738739013672, 5.497048854827881], [30.759906768798828, -19.053722381591797, 35.7307014465332]], [-17.419509887695312, 24.193649291992188, -17.64131736755371], [[-11.222723960876465, -33.61957550048828], [13.70097827911377, -34.36409378051758], [4.517551422119141, -4.838494300842285]], [-12.443461418151855, 1.52033269405365]]"
784,474.31,330.60,84,"[[[9.961130142211914, 18.317888259887695, 11.57534408569336, -14.373985290527344, -4.568108081817627], [-27.903106689453125, -13.834037780761719, -11.746076583862305, -12.88403606414795, 25.31792449951172], [-3.4199211597442627, 8.772870063781738, -9.481021881103516, 1.141904592514038, 0.9290252923965454], [-4.525524139404297, -7.518088340759277, -6.940605163574219, -14.965300559997559, -11.592707633972168], [8.946244239807129, 2.733206033706665, -18.852737426757812, -25.926467895507812, -3.6936423778533936]], [4.87167501449585, 12.452750205993652, -2.213543653488159, -27.82691192626953, -15.753606796264648], [[-6.076486110687256, -1.0302895307540894, 39.682823181152344], [-32.18887710571289, -12.674028396606445, -4.772329330444336], [-1.5649082660675049, -17.59246063232422, 20.22892189025879], [8.019394874572754, -24.65481185913086, 26.0703067779541], [8.36404037475586, 51.697784423828125, -3.18041729927063]], [10.056599617004395, 16.644271850585938, 36.044612884521484], [[7.603118419647217, 29.890506744384766, -10.917529106140137], [23.079269409179688, -29.40227508544922, 5.406826019287109], [31.649736404418945, -17.606651306152344, 33.661163330078125]], [-20.767410278320312, 22.814708709716797, -16.44576644897461], [[-9.525897979736328, -33.6839714050293], [15.102084159851074, -33.3121223449707], [5.5017991065979, -7.570932865142822]], [-10.619621276855469, 2.7256555557250977]]"
785,371.37,183.73,85,"[[[9.837542533874512, 18.390493392944336, 11.475830078125, -15.182770729064941, -3.2877252101898193], [-27.09105110168457, -13.697168350219727, -11.293452262878418, -13.504134178161621, 26.768430709838867], [-3.9734761714935303, 9.473553657531738, -9.868742942810059, 2.3643157482147217, 1.370530128479004], [-4.6114702224731445, -6.698808193206787, -6.9820966720581055, -14.443188667297363, -12.219858169555664], [7.754151821136475, 3.3575732707977295, -18.753801345825195, -26.375652313232422, -3.2177443504333496]], [4.90280818939209, 10.53925609588623, -1.5862797498703003, -27.912445068359375, -15.609724998474121], [[-5.699463844299316, -1.2728445529937744, 39.07139205932617], [-31.65460777282715, -11.939838409423828, -4.742752552032471], [-1.1793181896209717, -17.205724716186523, 19.56019401550293], [7.774700164794922, -25.03969383239746, 25.417572021484375], [7.542225360870361, 52.74306106567383, -3.133796215057373]], [9.712936401367188, 16.414915084838867, 36.06470489501953], [[7.62440299987793, 29.83663558959961, -10.962932586669922], [23.757034301757812, -29.67684555053711, 6.372241973876953], [32.100521087646484, -18.544422149658203, 32.427310943603516]], [-21.333017349243164, 22.361106872558594, -16.435009002685547], [[-10.84749984741211, -33.32376480102539], [14.271353721618652, -32.751434326171875], [6.220125198364258, -6.678419589996338]], [-11.010656356811523, 3.028388261795044]]"
786,508.73,312.27,86,"[[[12.987210273742676, 17.802377700805664, 11.945643424987793, -14.269583702087402, -4.193321228027344], [-27.395475387573242, -14.072568893432617, -11.991606712341309, -11.680887222290039, 28.017847061157227], [-3.277867555618286, 8.359578132629395, -5.903959274291992, -4.7348504066467285, -3.0827016830444336], [-4.417179584503174, -7.9439377784729, -9.258522987365723, -12.911376953125, -11.095064163208008], [7.859559535980225, 3.1468307971954346, -18.63600730895996, -25.21127700805664, -3.219679832458496]], [5.828760147094727, 11.693836212158203, -6.437923431396484, -30.07796859741211, -14.718056678771973], [[-7.468287944793701, -3.0562796592712402, 45.83903884887695], [-31.90299415588379, -12.148496627807617, -6.452123165130615], [0.62612384557724, -14.901021003723145, 19.866539001464844], [6.006867408752441, -23.039894104003906, 28.163227081298828], [10.380617141723633, 49.86958694458008, -1.9910902976989746]], [10.957925796508789, 17.704675674438477, 34.493621826171875], [[6.667287349700928, 26.100543975830078, -12.9525728225708], [20.719566345214844, -31.49037742614746, 3.6933817863464355], [29.873191833496094, -18.62261962890625, 35.620819091796875]], [-18.480867385864258, 23.451622009277344, -19.18046760559082], [[-9.470955848693848, -33.20085525512695], [13.488642692565918, -36.19173049926758], [5.438721179962158, -5.45809268951416]], [-10.865063667297363, -0.7172642946243286]]"
787,382.91,302.93,87,"[[[13.51977825164795, 16.79135513305664, 11.704773902893066, -14.647560119628906, -4.594587326049805], [-27.803600311279297, -13.495161056518555, -12.656986236572266, -12.25599193572998, 27.563234329223633], [-4.3159308433532715, 8.212492942810059, -5.861186504364014, -4.114630222320557, -3.144862651824951], [-4.1844987869262695, -7.159040451049805, -9.264690399169922, -12.672035217285156, -10.179214477539062], [7.673450946807861, 3.7761313915252686, -19.47338104248047, -24.77130889892578, -2.100938558578491]], [5.728367805480957, 11.587766647338867, -5.452737331390381, -29.21021842956543, -14.962074279785156], [[-6.944485664367676, -3.8087992668151855, 45.70307922363281], [-31.804367065429688, -12.344863891601562, -6.039231300354004], [0.6760632395744324, -14.336929321289062, 20.86189079284668], [6.420431137084961, -22.480329513549805, 28.382478713989258], [10.268594741821289, 50.167972564697266, -1.4425920248031616]], [11.010385513305664, 17.925689697265625, 34.07594680786133], [[7.795116901397705, 26.20656967163086, -12.522550582885742], [20.89938735961914, -31.574983596801758, 3.409987449645996], [29.213634490966797, -19.268911361694336, 36.84482955932617]], [-19.377925872802734, 23.642011642456055, -19.197093963623047], [[-9.996660232543945, -32.090084075927734], [13.696834564208984, -36.04648208618164], [6.434928894042969, -6.256199359893799]], [-10.712855339050293, -0.4162037968635559]]"
788,431.05,363.03,88,"[[[9.097638130187988, 18.33877944946289, 11.480147361755371, -13.39366626739502, -5.616932392120361], [-27.370704650878906, -15.613472938537598, -12.099875450134277, -11.894342422485352, 26.251296997070312], [-3.9888370037078857, 11.090352058410645, -11.410934448242188, 2.3246264457702637, 0.8250919580459595], [-6.813992500305176, -5.702699184417725, -6.2781453132629395, -12.915688514709473, -10.966644287109375], [7.26566743850708, 2.070493698120117, -19.39183807373047, -25.099069595336914, -3.426365613937378]], [4.9207892417907715, 10.192708015441895, -2.0695393085479736, -26.662675857543945, -16.390859603881836], [[-6.866982936859131, -0.747217059135437, 40.72551345825195], [-33.281246185302734, -10.350412368774414, -6.422904968261719], [-0.1742633432149887, -15.975351333618164, 20.202919006347656], [7.19178581237793, -23.79732322692871, 27.36328125], [9.232247352600098, 52.735618591308594, -3.208329916000366]], [10.988306045532227, 16.155384063720703, 35.30699157714844], [[8.277937889099121, 29.964176177978516, -9.668976783752441], [23.085731506347656, -27.834699630737305, 7.340854644775391], [31.46257209777832, -17.665151596069336, 30.790639877319336]], [-19.912927627563477, 23.34731101989746, -16.73984718322754], [[-10.943406105041504, -34.89904022216797], [15.269095420837402, -33.5814094543457], [5.96101188659668, -7.863210678100586]], [-8.999841690063477, 3.3366706371307373]]"
789,344.76,200.53,89,"[[[9.750032424926758, 16.957475662231445, 10.685043334960938, -15.230183601379395, -4.632579326629639], [-26.465131759643555, -12.76860237121582, -11.247942924499512, -10.936389923095703, 27.449718475341797], [-5.6004509925842285, 11.602023124694824, -12.488667488098145, 3.474702835083008, 0.7445659637451172], [-5.8039164543151855, -7.689517021179199, -6.815311431884766, -11.917757034301758, -11.927570343017578], [7.78170108795166, 3.4758427143096924, -18.9121150970459, -25.070571899414062, -3.3906354904174805]], [4.284909725189209, 8.027798652648926, -2.4096531867980957, -24.713102340698242, -17.158615112304688], [[-6.303778171539307, -0.674129068851471, 40.65382766723633], [-31.864835739135742, -11.195109367370605, -4.644485950469971], [0.161383256316185, -15.786356925964355, 19.494064331054688], [7.9661865234375, -23.798044204711914, 26.04952049255371], [8.774890899658203, 52.950077056884766, -1.7462220191955566]], [11.084811210632324, 14.593790054321289, 35.72173309326172], [[8.116352081298828, 30.05004119873047, -8.5863037109375], [23.992029190063477, -30.72299575805664, 8.451715469360352], [29.994781494140625, -18.963720321655273, 31.307863235473633]], [-20.423166275024414, 25.117040634155273, -17.456527709960938], [[-12.7338228225708, -34.38986587524414], [15.295632362365723, -34.70314025878906], [6.377349376678467, -9.579951286315918]], [-9.639081954956055, 2.6090612411499023]]"
790,364.31,240.23,90,"[[[8.258448600769043, 21.139841079711914, 10.591131210327148, -14.397258758544922, -3.8647615909576416], [-29.447139739990234, -14.395988464355469, -11.553414344787598, -13.082497596740723, 27.331125259399414], [-2.51615047454834, 8.014138221740723, -9.311399459838867, 4.286121845245361, 1.343565821647644], [-2.7977826595306396, -6.508706092834473, -5.375323295593262, -14.561766624450684, -13.13649845123291], [5.157795429229736, 4.206932544708252, -20.73149871826172, -26.092483520507812, -2.8196115493774414]], [6.850231170654297, 7.597430229187012, -1.5932754278182983, -26.072725296020508, -17.328353881835938], [[-4.8718791007995605, -0.5101454854011536, 39.662044525146484], [-36.10675048828125, -12.080168724060059, -8.318205833435059], [-0.7285762429237366, -16.576353073120117, 20.756235122680664], [8.253111839294434, -26.807607650756836, 26.86707878112793], [10.988303184509277, 53.32129669189453, -3.3201396465301514]], [9.743610382080078, 15.371614456176758, 35.30490493774414], [[4.734196186065674, 30.627403259277344, -9.925371170043945], [22.54131317138672, -28.70829963684082, 5.788810729980469], [29.8721923828125, -18.02674674987793, 31.30799674987793]], [-21.043527603149414, 24.39948081970215, -16.972244262695312], [[-12.057755470275879, -31.694562911987305], [14.901829719543457, -33.95915222167969], [5.893392562866211, -8.692305564880371]], [-11.101484298706055, 1.502213478088379]]"
791,358.18,247.07,91,"[[[10.315199851989746, 15.500492095947266, 12.70226764678955, -14.080121040344238, -2.5948476791381836], [-25.575584411621094, -13.025344848632812, -11.270673751831055, -11.258089065551758, 28.206281661987305], [-3.9572391510009766, 10.541434288024902, -9.277691841125488, 3.2813186645507812, -0.5075364112854004], [-3.6858203411102295, -9.480676651000977, -4.874404430389404, -13.542625427246094, -12.113816261291504], [7.770726680755615, 2.6877191066741943, -17.36566734313965, -26.310035705566406, -2.462989091873169]], [5.066961765289307, 9.885995864868164, -1.2546823024749756, -23.950117111206055, -17.67423439025879], [[-5.068331718444824, -1.9293229579925537, 41.32871627807617], [-32.027587890625, -10.708024024963379, -2.6834781169891357], [-0.9731494784355164, -14.434562683105469, 20.355714797973633], [9.309176445007324, -24.355186462402344, 27.10366439819336], [7.707825183868408, 51.613372802734375, -3.60314679145813]], [8.865019798278809, 14.550017356872559, 35.707584381103516], [[9.387022972106934, 30.119077682495117, -10.885741233825684], [24.0662784576416, -31.049549102783203, 5.628317356109619], [32.28404998779297, -18.155895233154297, 32.35315704345703]], [-20.316946029663086, 26.4831600189209, -17.612171173095703], [[-11.24474811553955, -36.12162780761719], [16.542808532714844, -33.77779006958008], [6.185277462005615, -9.640559196472168]], [-10.426562309265137, 2.213158369064331]]"
792,460.15,245.67,92,"[[[9.240880012512207, 22.178543090820312, 11.596891403198242, -16.147462844848633, -6.622290134429932], [-28.778778076171875, -14.552688598632812, -10.344354629516602, -13.741538047790527, 26.286521911621094], [-2.8477704524993896, 7.895579814910889, -10.345215797424316, 3.132827043533325, 0.6013160943984985], [-5.76339054107666, -6.758093357086182, -6.37338399887085, -13.282278060913086, -13.158636093139648], [4.885346412658691, 4.04849910736084, -21.173358917236328, -27.415830612182617, -0.29841625690460205]], [6.387366771697998, 9.29336166381836, -0.7650265097618103, -26.692909240722656, -13.596244812011719], [[-5.106056213378906, -0.445698082447052, 40.89150619506836], [-34.54180145263672, -12.241506576538086, -9.145153999328613], [-0.2499474734067917, -16.33108139038086, 18.65688133239746], [9.45444393157959, -24.499549865722656, 25.48554801940918], [9.925379753112793, 52.327823638916016, -4.067433834075928]], [10.064781188964844, 16.083045959472656, 34.37275695800781], [[5.271218776702881, 30.73125648498535, -9.364252090454102], [20.416540145874023, -30.343379974365234, 3.472443103790283], [30.116607666015625, -18.487863540649414, 32.012168884277344]], [-21.195838928222656, 24.85304832458496, -15.598214149475098], [[-12.638203620910645, -31.846080780029297], [14.572922706604004, -35.06722640991211], [3.39090633392334, -9.398422241210938]], [-11.348447799682617, 1.1758795976638794]]"
